epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.87,0.87674,26.7372,0.3511,0,0,0,0,0.58301,41.3992,0.19493,0.000655367,0.000655367,0.000655367
2,455.058,1.50571,21.2984,0.58724,0.45399,0.16667,0.12507,0.04164,0.58218,27.8529,0.18404,0.00119115,0.00119115,0.00119115
3,680.148,1.65951,18.7108,0.63276,0.64533,0.33333,0.28661,0.06834,0.53623,22.2436,0.19373,0.00159494,0.00159494,0.00159494
4,905.537,1.70825,17.0767,0.63253,0.58938,0.5,0.37446,0.18514,0.4419,22.7666,0.19028,0.001406,0.001406,0.001406
5,1129.42,1.66576,15.2072,0.61487,0.58744,0.47907,0.39345,0.12416,0.44751,20.4131,0.18447,0.001208,0.001208,0.001208
6,1354.88,1.58371,14.1125,0.57449,0.56544,0.5,0.58691,0.14454,0.50603,19.7686,0.17963,0.00101,0.00101,0.00101
7,1585.5,1.64209,12.7173,0.6126,0.68571,0.83333,0.78671,0.34392,0.39744,17.564,0.1715,0.000812,0.000812,0.000812
8,1808.83,1.61603,12.572,0.59892,0.97554,0.83333,0.883,0.31034,0.39803,17.4746,0.17201,0.000614,0.000614,0.000614
9,2034.69,1.54136,11.8004,0.59351,0.97425,0.83333,0.90885,0.37039,0.36785,17.2235,0.16864,0.000416,0.000416,0.000416
10,2259.03,1.52158,11.3167,0.59663,0.97844,0.83333,0.94167,0.3609,0.38021,16.6143,0.1676,0.000218,0.000218,0.000218
